Index    MIPS    Bandwidth     Storage    coreNumber    VM_price(￥/h)    Bd_price(￥/h)    St_price(￥/h)
VM1     63991          5                 32               1                        8.13                  1.17                    0.62
VM2     79402          2                 24               1                        9.93                  0.50                    0.48
VM3     77962          9                 24               1                       11.26                 1.80                    0.48
VM4     59409          6                 48               1                        9.60                  1.40                    0.96
VM5     50867          6                 36               1                        6.60                  1.40                    0.72
VM6     30932          7                 40               1                        4.28                  1.60                    0.80
VM7     41940          8                 16               1                        4.56                  1.70                    0.32
VM8     26481          5                 40               1                        4.16                  1.17                    0.80
VM9     21940          3                 16               1                        3.56                  0.83                    0.32
VM10   46481          5                 40               1                        5.76                  1.17                    0.80
